,ps_a,m
-10.0,1.1380529e-06,0.0
-9.6,4.5726503e-07,0.0
-9.2,1.3853504e-06,0.0
-8.8,9.644676e-07,0.0
-8.4,2.0694583e-06,3.744241e-07
-8.0,2.6841967e-06,6.9696927e-07
-7.6,2.7479505e-06,9.745971e-07
-7.2,4.853875e-06,1.5266573e-06
-6.8,3.1333232e-06,2.6257621e-06
-6.3999996,5.565998e-06,2.7026786e-06
-6.0,1.0892925e-05,3.6320891e-06
-5.6,1.610833e-05,2.8453005e-06
-5.2,2.0203968e-05,4.770737e-06
-4.7999997,2.8962659e-05,1.0132568e-05
-4.4,2.5939069e-05,1.6075846e-05
-4.0,5.753725e-05,1.8750969e-05
-3.6,0.00045655985,2.9845784e-05
-3.1999998,0.005067956,7.550237e-05
-2.7999997,0.04985561,0.0013185539
-2.4,0.12000977,0.01778401
-2.0,0.19543666,0.105502635
-1.5999994,0.1681397,0.24403206
-1.1999998,0.16686258,0.23556867
-0.8000002,0.14226806,0.1887862
-0.39999962,0.091162965,0.1353526
0.0,0.047077514,0.058722176
0.39999962,0.008849698,0.00938258
0.8000002,0.0032583976,0.0023832072
1.1999998,0.0009078075,0.0006551723
1.5999994,0.00023427125,0.0002145012
2.0,0.000116721414,4.9743365e-05
2.4,2.7279897e-05,1.736966e-05
2.7999997,1.8250013e-05,1.1748743e-05
3.1999998,1.283771e-05,1.04678e-05
3.6,8.844795e-06,1.0142295e-05
4.0,9.083223e-06,4.6685045e-06
4.4,6.628073e-06,4.5090733e-06
4.7999997,4.434178e-06,3.8372887e-06
5.2,3.6965162e-06,3.1739087e-06
5.6,3.4658162e-06,2.6457117e-06
6.0,2.910244e-06,2.2968088e-06
6.3999996,2.1718101e-06,1.8825418e-06
6.8,2.1615858e-06,1.4489858e-06
7.2,1.9144984e-06,8.7814396e-07
7.6,2.2260713e-06,1.4270036e-06
8.0,1.0024211e-06,6.524564e-07
8.4,9.0640253e-07,2.7268263e-07
8.8,4.788739e-07,0.0
9.2,1.7336197e-06,0.0
9.6,4.1785094e-07,0.0
10.0,6.6480993e-07,0.0
